"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (Beneficial-Microbe-molecule-secretion-rate)"
"01/08/2025 08:40:59:365 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"99","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3700","1409","3701","1","40"
"103","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3176","864","3177","1","28"
"111","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1929","697","1930","2","29"
"106","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3266","729","3267","2","26"
"116","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1307","554","1308","2","19"
"108","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3689","934","3690","2","33"
"112","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3327","827","3328","1","30"
"118","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1385","583","1386","2","23"
"113","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2681","777","2682","2","30"
"98","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","4178","1478","4179","1","39"
"109","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3955","948","3956","1","31"
"120","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1681","614","1682","1","30"
"107","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4267","1032","4268","2","32"
"105","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4388","1004","4389","2","30"
"115","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3129","853","3130","2","33"
"125","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1082","507","1083","2","21"
"114","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2841","783","2842","2","29"
"119","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2882","719","2883","2","21"
"130","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2026","714","2027","1","33"
"129","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2353","725","2354","2","29"
"126","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3135","805","3136","2","22"
"121","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3833","918","3834","2","23"
"117","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3538","875","3539","2","33"
"127","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3187","838","3188","2","28"
"123","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3563","1010","3564","2","36"
"128","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2648","690","2649","2","24"
"124","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3346","897","3347","1","34"
"133","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2454","692","2455","2","28"
"138","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1718","554","1719","1","19"
"132","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2688","760","2689","2","21"
"122","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4170","1042","4171","2","28"
"141","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1163","506","1164","1","23"
"137","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2272","729","2273","1","29"
"139","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3148","778","3149","1","22"
"135","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3535","885","3536","2","25"
"134","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3769","973","3770","1","32"
"136","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3683","847","3684","2","26"
"143","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2429","746","2430","2","28"
"149","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","788","393","789","1","10"
"140","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3241","747","3242","2","29"
"142","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3784","911","3785","2","31"
"150","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2410","727","2411","1","27"
"153","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2534","727","2535","1","26"
"157","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","646","329","647","2","4"
"151","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2904","814","2905","2","29"
"131","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4028","939","4029","2","29"
"156","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1300","507","1301","1","22"
"146","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3636","889","3637","2","22"
"148","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3999","962","4000","2","30"
"144","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4015","1000","4016","2","30"
"152","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3869","918","3870","2","25"
"145","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4170","947","4171","1","24"
"147","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3904","931","3905","1","29"
"155","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3061","820","3062","2","28"
"163","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1348","548","1349","1","26"
"159","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2430","733","2431","1","29"
"161","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2318","739","2319","2","34"
"158","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2935","797","2936","1","25"
"165","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2486","775","2487","1","35"
"169","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1941","667","1942","2","32"
"154","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3877","1056","3878","2","29"
