"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (adhesion/deadhesion)"
"12/20/2024 23:23:39:968 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"63","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2781","892","2782","2","40"
"61","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3184","1109","3185","1","40"
"74","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1618","568","1619","1","33"
"70","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2549","857","2550","1","38"
"66","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3104","1096","3105","2","40"
"78","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1789","603","1790","1","33"
"72","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2384","812","2385","2","38"
"71","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2992","1053","2993","2","38"
"80","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1554","530","1555","1","35"
"77","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2505","857","2506","1","39"
"68","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3852","1324","3853","1","40"
"81","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2418","791","2419","1","40"
"85","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1810","596","1811","1","35"
"73","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3197","1094","3198","1","41"
"86","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2008","681","2009","1","37"
"90","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1082","358","1083","1","24"
"82","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2217","767","2218","2","39"
"75","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3663","1235","3664","1","42"
"87","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2044","700","2045","1","39"
"93","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1464","503","1465","1","33"
"91","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2058","661","2059","1","38"
"89","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2328","765","2329","2","38"
"76","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","4040","1417","4041","2","40"
"79","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","4009","1342","4010","2","41"
"84","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2761","956","2762","1","35"
"92","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2579","885","2580","1","38"
"99","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1484","520","1485","1","33"
"97","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1696","566","1697","1","36"
"88","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3308","1113","3309","2","40"
"83","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3646","1248","3647","1","40"
"105","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1076","317","1077","1","26"
"94","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2977","961","2978","1","37"
"98","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2324","790","2325","1","37"
"95","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3037","1042","3038","2","42"
"100","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1954","669","1955","1","32"
"111","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","614","175","615","2","8"
"108","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1507","486","1508","2","33"
"106","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2314","772","2315","1","37"
"114","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1883","598","1884","1","38"
"112","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2092","688","2093","1","37"
"110","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2292","764","2293","1","41"
"101","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3178","1000","3179","1","40"
"107","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2556","857","2557","2","40"
"96","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","4088","1380","4089","1","37"
"115","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1479","460","1480","1","32"
"102","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2833","933","2834","1","39"
"113","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2733","936","2734","1","41"
"104","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3646","1209","3647","1","36"
"103","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3646","1251","3647","2","42"
"119","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2223","736","2224","1","41"
"118","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2420","807","2421","1","42"
"122","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2426","781","2427","1","42"
"121","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2404","831","2405","2","38"
"125","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1629","498","1630","1","37"
"109","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3808","1283","3809","1","40"
"124","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2130","696","2131","2","39"
"116","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2984","961","2985","2","41"
"117","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2906","935","2907","1","41"
"127","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2161","722","2162","2","38"
"129","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1928","608","1929","1","39"
"126","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2614","883","2615","1","42"
"131","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2070","690","2071","1","37"
"132","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2009","649","2010","1","38"
"123","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2819","953","2820","2","42"
"120","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3694","1171","3695","2","42"
"128","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2693","880","2694","1","42"
"134","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2348","758","2349","1","41"
"137","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1802","564","1803","1","36"
"138","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1519","489","1520","1","30"
"133","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2734","862","2735","2","41"
