"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"CI Model Survival Curves- 10/2024"
"11/30/2024 10:03:01:151 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"77","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4158","657","4159","2"
"78","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3304","597","3305","2"
"79","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3302","647","3303","2"
"80","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3433","644","3434","2"
"81","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2645","515","2646","2"
"82","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1933","494","1934","2"
"83","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3190","568","3191","2"
"84","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3640","590","3641","2"
"85","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3016","620","3017","2"
"86","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3372","621","3373","1"
"87","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3837","605","3838","2"
"88","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4283","709","4284","2"
"89","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3426","618","3427","2"
"90","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3216","579","3217","1"
"91","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3177","552","3178","2"
"92","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3833","650","3834","2"
"93","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2541","556","2542","2"
"94","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3383","596","3384","1"
"95","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3516","609","3517","2"
"96","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3257","615","3258","2"
"97","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4113","718","4114","2"
"98","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","868","282","869","1"
"99","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3902","637","3903","2"
"100","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3047","591","3048","2"
